artist	artist_id	name	album	release_year	header	lyrics
Kanye West	5	Jesus Walks	The College Dropout	2004	[Chorus]	"(Jesus, walk)
God, show me the way because the Devil's tryna break me down
(Jesus, walk with me)"
Nas	9	Blunt Ashes	Hip Hop Is Dead	2006	[Verse 3]	"John F. Kennedy's enemies dealt with treachery
It interests me. Judy Campbell in Gucci sandals
She's what a temptress be
The death of Ennis Cosby, what a mystery!
Or the Chicagoan Harold Washington
Someone is sabotaging 'em
Watch out for the traps
Larry Troutman killed his brother Roger Troutman
Then he killed himself, that's the end of Zapp
And I wouldn't change a thing, mistakes of the greats
This is what came from their pain
From their hurt we gain, an unfair exchange"
Kanye West	5	Never Let Me Down	The College Dropout	2004	[Chorus]	"When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh, no, you'll never let me down
Get up, I get down, get up, I get down
Get up, I get down, get up, I get down
Get up, I get down, get up, I get down"
Jay-Z	12	Money, Cash, Hoes	Vol. 2… Hard Knock Life	1998	[Chorus]	"Money, cash, hoes, money, cash, hoes
Money, cash, hoes, money, cash, hoes
Money, cash, hoes, money, cash, hoes
Money, cash, hoes, hoes, hoes
Money, cash, hoes, money, cash, hoes
Money, cash, hoes, money, cash, hoes
Money, cash, hoes, money, cash, hoes
Money, cash, hoes, hoes, hoes"
JAY-Z	6	Dirt Off Your Shoulder	The Black Album	2003	[Verse 1]	"I probably owe it to y'all, prolly be locked by the force
Tryna hustle some things that go with the Porsche
Feelin' no remorse, feelin' like my hand was forced
Middle finger to the law, nigga, grippin' my balls
Said, the ladies, they love me — from the bleachers, they screamin'
All the ballers is bouncin' — they like the way I be leanin'
All the rappers be hatin' off the track that I'm makin'
But all the hustlers — they love it just to see one of us make it
Came from the bottom of the bottom to the ""Top of the Pops""
Nigga, London (Woo), Japan (Woo), and I'm straight off the block
Like a running back — get it, man? I'm straight off the block
I can run it back, nigga, ‘cause I'm straight with the Roc"
Kanye West	5	Still Dreaming	Hip Hop Is Dead	2006	[Verse 1]	"He pulled up at 6:30 in a 745
As he waving ""Shorty, hi"", you know he showin' his bling out
She got in the car, he drove, he pulled his thing out
His girl caught feelings, she mad, she threw the ring out
How she found out she dreamt the whole thing out
Y'all be going through problems, you gotta work the kinks out
When you go to sleep? What do you think 'bout?
If y'all get a divorce she gon' take everything except the kitchen sink out
Make it so cold that you gotta pull your mink out
Or grab your roller skates and turn a roller rink out
You now back up in the club, in the club, tryna min-gle, meanwhile
She out doing the same thing now, nightmares from your dream gal make you scream out"
Travis Scott	33	FE!N	UTOPIA	2023	[Chorus]	"FE!N, FE!N, FE!N (Schyeah), FE!N, FE!N
FE!N, FE!N, FE!N, FE!N, FE!N
FE!N, FE!N, FE!N, FE!N, FE!N, FE!N (, let's go)"
Scarface	11	Greed	My Homies	1998	[Verse 1]	"You claim your man done beat your ass in when he puts his hands on ya
You called the police, told the man you ain't goin'
So he's packin' up your shit and got your suitcase ready
Sittin' in the driveway beside your black Chevy
Got your whole family wired up to go in his place
But he don't give a fuck now, they showin' his face
You probably tried to play the good girl when you saw him today
But now you got him fucked up 'cause you all in his safe?
Whatever happened to the women like mama
Who fed the whole family with love and ten dollars?
A new day came and now your ho sack chasin'
So hungry for scratch, you hoes'll track down Jason
Don't get me wrong, I got respect for Black ladies
It's the ones who playin' dumb and the check for the babies
On theyself, lookin' lovely with they hair full of spritz
Double digit for your children and they dress 'em like shit
And all they gots to do now is collect it and smile
I figured bitches had a little more respect for they child
I guess they don't, and it makes even madder just thinkin'
These hoes can get the crib and the goddamn Lincoln
I know you hate me 'cause the truth hurts
Sit on your ass and receivin' the salary while the dudes work
Let's get for real because the world needs it
Twenty-five hundred dollars a child? Come on, the girl greedy"
Eminem	15	97' Bonnie & Clyde	The Slim Shady LP	1999	[Verse 1]	"C'mon Hai-Hai, we goin' to the beach
Grab a couple of toys and let Dada strap you in the car seat
Oh, where's Mama? She's takin' a little nap in the trunk
Oh, that smell? Dada must've runned over a skunk
Now, I know what you're thinkin', it's kind of late to go swimmin'
But you know your Mama, she's one of those type of women
That do crazy things, and if she don't get her way, she'll throw a fit
Don't play with Dada's toy knife, honey, let go of it (No)
And don't look so upset, why you actin' bashful?
Don't you wanna help Dada build a sandcastle? (Yeah)
And Mama said she wants to show you how far she can float
And don't worry about that little boo-boo on her throat
It's just a little scratch, it don't hurt
Her was eatin' dinner while you were sweepin'
And spilled ketchup on her shirt
Mama's messy, ain't she? We'll let her wash off in the water
And me and you can play by ourselves, can't we?"
Lupe Fiasco	23	Go Go Gadget Flow	Lupe Fiasco’s The Cool	2007	[Pre-Chorus]	"From the M-A-D-I-to-the-S-to-the-O-N
Potent, to get you open
Movin' like a nigga supposed to
Get your dough on the go with the flow that I'm holding"
Eminem	15	Hello	Relapse	2009	[Verse 3]	"Oh, those were the days, they certainly were
It's hurting me to know that I'll be closing that curtain for good
Word-word, chk-word-word, chk-word, chk-chk-word
I second that and I third, rushed to emergency surgery
To try to flush me because of the drugs that he purchased
He's no longer getting them free—hundred bucks for these Percodans
Plus, it's getting to be where he'll lustfully search the den
Pain is hitting his knee and his muscles be hurtin' him
Tirelessly on the phone trying to rustle up
Muscle relaxers for his back and a couple of Paxils
Now he's doubling backwards, and he's stumbling back
Slipped and fell, hit his back, boom, heard something go crack
Now he's up in the bathroom like he's busting a nap
Almost ended it that soon because of the fact
I'm just busting my own chops while I'm busting a rap
Resuscitated and rejuved, so fuck it, I'm back"
Kanye West	5	Amazing	808s & Heartbreak	2008	[Pre-Chorus]	"No matter what, you'll never take that from me
My reign is as far as your eyes can see, it's amazing"
Big L	25	All Black	Lifestylez ov da Poor & Dangerous	1995	[Verse 1]	"Yo, once again, it's the Big L, that kid who got much props
From killin' corrupt cops with motherfuckin' buck shots
So don't step to this, 'cause I got a live crew
You might be kinda big, but they make coffins yo' size, too
I was taught wise, I'm known to extort guys
This ain't Cali — it's Harlem, nigga, we do walk-by's
No one can match me, tax me, or wax me
If you want me to write you some raps, G, just ask me
'Cause on the shelf is where your LP cold stood
Because it was no good, that shit ain't even go wood
I'm not the type to take sluts out, I just fuck they guts out
Get my nuts out, then break the fuck out
Me bein' a virgin? That's idiotic
'Cause if Big L got the AIDS, every cutie in the city got it
Once a nigga tried to stick me for six G's
And I put more holes in his ass than Swiss cheese"
Guru	20	Nice Girl, Wrong Place	The Ownerz	2003	[Verse 2]	"What's a nice girl like you doing here like this?
Busting your heels like this, I know you feel like shit
And you feel like calling the quits, but you need that dough
Paying for school, I can see that yo
You're intelligent, similar to Angelou
I'm understanding you, I got big plans for you
Your whole awaistance got you going places
You chasing money, ain't no funny faces
You're/Your shit serious, niggas is delirious
I like your little outfit, I like the way you're wearin it
You say your last man was too jealous
You're too young to settle down, girl I'll let you tell it
You're not a video chick, not a groupie bitch
Just an ambitious young woman with juicy lips
Remembering your face like this, my Henney chase like this
What you doing in a place like this"
Lupe Fiasco	23	The Emperor’s Soundtrack	Lupe Fiasco’s Food & Liquor	2006	[Verse 5]	"I put it on my grandmomma's daughter
I microphone control with the soul of slave hummin ""Wadin in the Water""
I author like D.W. brother, like a hustla'
God place me in ya armor, I prescribe no partners
I do it for the hood like a parka
But tell my niggas not to shiver
Only time we quiver like a archer is"
Kanye West	5	See Me Now	My Beautiful Dark Twisted Fantasy	2010	[Bridge]	"Now go get my throne, 'cause I don’t wanna stop
I just go in my zone, and I’ma make it hot 'til it’s time to go
When it’s time to go, where you tryna go?
You better act like you can see me now"
Travis Scott	33	COFFEE BEAN	ASTROWORLD	2018	[Verse 1]	"How would you feel if I had you? (This is all)
Trust me, you would be mad too (This is all)
Shawty, we can be mad cool
Just hit me if anything past due
Your family told you I'm a bad move (This is all)
Plus, I'm already a black dude
Leavin' the bathroom, my hands is half-rinsed
If only a nigga just had sense
Speaking in past tense (This is all)
It's been a week and a half since
We ain't been speaking and that meant
You feeling free in my absence
I've been going through a lot behind this glass tint, yeah
(This is all, this is all)"
Future	30	Groupies	DS2	2015	[Verse 1]	"Now I'm back grippin' that Uzi (Woo)
I'll fuck that bitch 'cause she bougie (Yeah)
I fuck that ho' 'cause she choose me (I did it)
Sip on my cup, it's a movie (Woo)
I pop me a Perc, it's a movie (A movie)
Smokin' oh-la-la-la like a Fugee
Turn your homie to food, he a Goofy (Woo, woo)
While my lil' one get head from a groupie
I dug all in that pussy, I got her
Once I pour in that Molly, I got her (I got her)
Got my neck and wrist on the Phantom (On God)
We don't take them on dates, we just fuck 'em
I appreciate the way you fuck me
We could never tell the fuckin' public
Pussy good enough to make me love you (On God)
Pussy good enough to make me love you (On God)
You get that Rollie for nothin'
You deserves Rollies and APs and all that (And all that)
You deserve Dolce Gabbana and Hermès
You really know me, nobody can love me like you"
Kurupt	4	On, OnSite	Space Boogie: Smoke Oddessey	2001	[Verse 2]	"It's time to prepare, lil' nigga, listen here
Get pierced like ten spears, shit is fierce
Fist, five and five, in multitudes
Comin' through bangin' the five
Shit hit ligaments.  Restructured, rewired
I'm tired of all y'all rap this sawed off
Let off a pellet, the Desert Eagle start yellin'
Screamin', the path of a demon bailin'
With my all blue Chucks on goin' out right
Dippin' through the back 'cause it's on onsite
The first nigga saw is the first nigga gone
Smashed on, banked and shanked and blast on
I make the bitches strip, we out 6-4's
Like e'erday, Californ-I-A
I can't explain it, the immaculate candy painted
Double-four dumper on my lap for comfort"
Dr. Dre	1	Rat-Tat-Tat-Tat	The Chronic	1992	[Verse 1]	"Rat-tat-tat-tat late at night with my gat
On the streets of L.A. wonderin' where the pussy at
Straight player, lookin' for a ho
Hangin' out, rollin' in my six-four
Sixteen switches for the niggas in my hood
Seventeen shells, so I make it understood
Stay back, lay back, way back in the cut
Ya come outside, nigga, ya gettin' fucked up
I done told ya, creep-creep, ya best move
Like Luther Vandross, I'm fuckin' up the west coast
I'm right back up in ya when ya nut
One, two, three nut, from the D-R-E but
This is for the hoes that I used to know
When I didn't have my sixty-four and a lot of dough
I keep it like this and like that, and I"
50 Cent	19	Candy Shop	The Massacre	2005	[Verse 1]	"You could have it your way, how do you want it?
You gon' back that thing up or should I push up on it?
Temperature risin', okay, let's go to the next level
Dance floor jam-packed, hot as a tea kettle
I'll break it down for you now, baby, it's simple
If you be a nympho, I be a nympho
In the hotel or in the back of the rental
On the beach or in the park, it's whatever you into
Got the magic stick, I'm the love doctor
Have your friends teasin' you 'bout how sprung I got you
Wanna show me you could work it, baby? No problem
Get on top, then get to bounce around like a low rider
I'm a seasoned vet when it come to this shit
After you work up a sweat, you could play with the stick
I'm tryin' to explain, baby, the best way I can
I'll melt in your mouth, girl, not in your hand, ha-ha"
Snoop Dogg	0	Crazy	Tha Blue Carpet Treatment	2006	[Verse 1]	"Have a look outside and take a stroll with me
California lifestyle, you wanna roll with me?
I could take you in and out and where it's gonna be
Now as crazy as it is, you know this home for me
I wouldn't never leave it, you know that's wrong to me
I'ma stay down, you see me on the corners, G
At your local liquor store, gettin' some Optimos
And if I'm out of bounds then I gotta cock the fo'
Keep it on the low on the W-W-W-West coast
Sign some autographs and then I do get ghost
A-humph.. yeah, I love my folks
But half of y'all fools is cutthroats
On the real know the streets'll have you
Guide you, lead you, mislead you, it's fragile
Yeah, see you gradually grow
And when you walkin on my side I think you all need to know..."
The Game	13	Don’t Need Your Love	The Documentary	2005	[Verse 2]	"I heard they got Bloods in New York now
Red rags in Uptown Harlem now, I need that love
Front court at the Knicks game, new chick, French name
New car, new house, and sometimes friends change
And you don't need that love, when you G's like us
And your Jesus piece is sim-u-lar to Biggie's
And your life story is sim-u-lar to 50's
First they hate you, then they love you, then they hate you again
What the fuck do it take for a gangsta to win?
No mics, no Unsigned Hype, nigga, fuck The Source
Plus them awards I don't need
And them niggas breathing the same air as me, acting like they don't bleed
We don't drive the same speed, this a Continental T
That's a case of Armadale, this a continental suite
So I'mma drown in my own sorrows
Live life, fuck tomorrow, nigga, 'cause reality is"
Nas	9	Favor for a Favor	I Am...	1999	[Chorus]	"You wet who I want wetted, I'll wet who you want wetted
Any nigga can get it (a favor for a favor)
You wet who I want wetted, I'll wet who you want wetted
Any nigga can get it (a favor for a favor)
You wet who I want wetted, I'll wet who you want wetted
Any nigga can get it (a favor for a favor)
I'll wet who you want wetted, you wet who I want wetted
Any nigga can get it"
Travis Scott	33	MODERN JAM	UTOPIA	2023	[Verse 2]	"Baby, don't you know I got to go?
Got the glow and it got to show
Know it's been a year since I seen the road
Had me inside like I'm on parole
I'm outside like I'm on patrol
I hear the zeitgeist, now I'm in the zone
You know they say you up when you finally free
It won't feel right if it's only me
If you're scared, nigga, say your grace
I got the formula like I own the race
I got the keys with me like I own the place
If these niggas on top, then I'm outta space
I'd rather spend it on you than on Uncle Sam
Give this shit my all but don't give a damn
Even in the winter, it's a summer jam
I told her buckle up 'cause it's goin' down, it's like"
JAY-Z	6	Family Feud	4:44	2017	[Interlude]	"Hahahah
I'll be damned if I drink some Belvedere while Puff got CÎROC
Y'all need to stop"
2Pac	18	Bomb First (My Second Reply)	The Don Killuminati: The 7 Day Theory	1996	[Bridge]	"Come on, bring it, down with it!
(We ride)
Come on, bring it
(Bomb first when we ride)
Hey, get that nigga!"
Future	30	Dedicated	The Documentary 2	2015	[Verse 1]	"Money we burn it on bitches like candles
Can I trust you gonna ride for me like I ride for you?
I speak your name and it's royalty
You see the stress and my loyalty
You gotta be there for me through the casualties
You see my trials and my tribulations
You can tell them demons tryna capture me
Only thing that ever mattered to me was my niggas
I know these niggas gon' ride, yeah, squeeze triggers
You gotta put in some time for this
Almost lost my mind for this
Fuck all that crying lil bitch
Niggas round my way, they dying for this"
Future	30	Thought It Was a Drought	DS2	2015	[Chorus]	"I just fucked your bitch in some Gucci flip flops
I just had some bitches and I made 'em lip lock
I just took a piss and I seen codeine coming out
We got purple Actavis, I thought it was a drought
I just fucked your bitch in some Gucci flip flops
I just had some bitches and I made 'em lip lock
I just took a piss and I seen codeine coming out
We got purple Actavis, I thought it was a drought"
Kanye West	5	Wolves	The Life of Pablo	2016	[Interlude]	"And I need you now
Lost and found out
Yeah"
The Game	13	We Ain’t	The Documentary	2005	[Verse 3]	"Lo, get Dre on the phone quick
Tell him Em' just killed me on my own shit
I'm walking through 8 Mile, startin' to get home sick
I'ma do Shady numbers, I'm ridin' my own dick
Yeah the chrome sick, the window's tinted
If Eminem is in it, body armor under the Pendleton
These niggas is killing it, take a minute to listen
Turn down my Jimi Hendrix, I'll throw your demo out the window
For telling me it's hot, when it's not and you got
What you got from them rocks, on the block, you just stopped
Telling Dre you got shot with a Glock, that don't fade me
I'm crazy, why the fuck you think I'm rhyming with Shady?
I don't care if the radio don't play me, I say
What I say when I feel like I'm feeling today
And get hard when these bitches see my car in the streets
I can't even take my son to cop them G-Unit sneaks
So I'm gone, bitch"
Nas	9	Hustlers	Hip Hop Is Dead	2006	[Bridge]	"He a Compton-Compton O.G
A concoction of some different ghetto blocks
He a Compton-Compton O.G
A concoction of some different ghetto blocks
, East Coast gun— *gunshot*"
Snoop Dogg	0	Tha Shiznit	Doggystyle	1993	[Verse 1]	"Poppin', stoppin', hoppin' like a rabbit
When I take the Nina Ross, ya know I gots to have it
I lay back in the cut, retain myself
Think about the shit and I think it well
How can I makes my grip?
And how should I make that nigga straight slip?
Set trip, gotta get him for his grip
As I dip around the corner, now I'm on a
'Nother mission, wishin' upon a star
Snoop Doggy Dogg with the caviar
In the back of the limo, no demo, this is the real
Breakin' niggas down like Evander Holyfield, chill
'Til the next episode
I make money and I really don't love hoes
Tell you the truth, I swoop in the coupe
I used to sell loot, I used to shoot hoops
But now I make hits every single day
With that nigga, the diggy Dr. Dre
So lay back in the cut, motherfucker, 'fore you get shot
It's 1-8-7 on a motherfuckin' cop"
Nate Dogg	3	The Hardest Mutha Fuckaz	Space Boogie: Smoke Oddessey	2001	[Verse 1]	"Some try to repeat my flow
Others neva try cuz they know
I told ya that the game don't wait
I'm so tight that I can wait for the game
Just about as tight can be
That's why you never see 'em fuckin with me
Get ya chance to bow out gracefully
You standin face to face with defeat"
50 Cent	19	Gangsta Shit	Beg for Mercy	2003	[Chorus]	"They, they talking that
That gangsta shit
They ain't about that
Man, matter of fact
Hand me my strap
Show me where they at, I'll stop 'em from talking like that
They, they talking that
That gangsta shit
They ain't about that
Man, matter of fact
Hand me my strap
Show me where they at, I'll stop 'em from talking like that"
2Pac	18	Lord Knows	Me Against The World	1995	[Chorus]	"(Lord knows, Lord knows, Lord knows!)
Lord knows
(Coughing)
(He knows! Lord knows, Lord knows, Lord knows!)
The Lord knows
(Coughing)
(He knows! Lord knows, Lord knows, Lord knows!)
The Lord knows
(He knows! Lord knows, Lord knows, Lord knows!)"
The Game	13	Bitch You Ain’t Shit	The Documentary 2	2015	[Verse 1]	"I got these freak hoes clappin' their hands, stompin' their feet
Every now and then they put their mouth on me
But these days a G like me can't even call it
They ride dick until you sleep and then go through your wallet
Fake ass, bitch ass, thot ass, slut ass hoes
Workin' in secret Sunday, don't even wipe that pole
Dirty bitch, you done had a dick in every one of your holes
You a trick, you ain't shit and everybody knows
Bitch you don't even wash your rag
Let a nigga smash and you don't even wash your ass
Fuck you mean? You 'bout to go home and take a shower
That mean that pussy 'bout to be funky for a whole 'nother hour
Every night you let a new nigga nut in your shit
How you suck a nigga's dick with that cut on your lip?
You freak bitch, your baby daddy in the county doin' burpies
And you gave that nigga herpes"
Snoop Dogg	0	A Nigga Witta Gun	The Chronic	1992	[Chorus]	"A nigga with a motherfuckin' gun
A nigga with a motherfuckin' gun
A nigga with a motherfuckin' gun
A nigga with a motherfuckin' gun"
Jay-Z	12	Brooklyn’s Finest	Reasonable Doubt	1996	[Verse 5]	"Jay-Z, Big Smalls, nigga, shit your drawers
Brooklyn represent y'all, hit, you fold
You crazy, think your little bit of rhymes can play me?
I'm from Marcy, I'm varsity, chump, you're JV
Jay-Z
Fuck three wishes, made my road to riches
From 62's, Gemstars, my mom's dishes (Uh)
Gram choppin', police van dockin'
D's at my doors knockin' (What?)
Keep rockin', yeah!
No more Mr. Nice Guy, I twist ya shit
The fuck back with the pistols.. 
Hot like 
Hotter than even holdin' work at the 
With New York plates outside
Get up out of there, fuck the ride!"
Kurupt	4	For All My Niggaz & Bitches	Doggystyle	1993	[Verse 4]	"You're headed my way, nigga, you best to hit a U-turn quick
So what's happenin'? I'm cappin' shit up like a Western flick
The kingpin of the clique, top notch
Seventeen-shot Glock cocked, so all niggas drop
The run of the mill fool get broke off for tryin' to serve the best
Kurupt's era, peep the terror, 'cause it's a murder fest
I smoke chronic every day, so what have we?
Another motherfucker gettin' served like some cavi
Now who drops
I got the Juice like 2Pac, rollin' with two Glocks
Fly motherfuckers can't see Kurupt
Hell-raisin' like Pinhead, beware, I'm tearin' shit the fuck up
Slow your roll like your legs was broken
Who's jokin'? Rakim never joked, so why should I, loc?
And that's my idol, check the vital rhyme flow, though
Runnin' 'em like Flo-Jo, stranded on Death Row
Mediocre motherfuckers die 'cause I'm servin'
And they can't fuck with or see me, I'm mass-murderous
 (Yeah)
Niggas don't understand how we kicks different flows
, I'm rugged like a BF Goodrich
Peep the murderous styles and the poetical techniques"
Kanye West	5	New Slaves	Yeezus	2013	[Bridge]	"Nothing bad, nothing bad, noth—
Noth-Noth—, —ing bad, noth— (Noth-Noth—)
Bad, nothing bad, nothing bad
Nothing—"
Snoop Dogg	0	Step Yo Game Up	R&G (Rhythm & Gangsta): The Masterpiece	2004	[Chorus]	"What you lookin' at?
What you waitin' for?
Go on, come on in the door
Drop it to the floor and just
You a kid
Oh, you drink gin
Is that your friend?
Tell a nigga you with you finna"
50 Cent	19	Outta Control	The Massacre	2005	[Chorus]	"I do my thang, in the club
Every chance I get, I tear it up
Dance floor jam-packed, look
I got 'em goin', goin' outta control
Set it off on yo' left, dog
Set it off on yo' right, dog
Set it off
Nigga, I said set it off!
Ha-ha... (Set-Set it off)"
2Pac	18	Initiated/Thug Pound	Retaliation, Revenge and Get Back	1998	[Interlude]	"Stupid motherfuckers
Outlaw Immortals, bitch
Dogg Pound, Thug Life, you know how we fuckin' do this shit
You stupid motherfuckers, don't get chills, man"
Kanye West	5	Black Skinhead	Yeezus	2013	[Verse 1]	"For my theme song (Black)
My leather black jeans on (Black)
My by-any-means on
Pardon, I'm getting my scream on (Black)
Enter the kingdom (Black)
But watch who you bring home
They see a black man with a white woman
At the top floor they gone come to kill King Kong
Middle America packed in (Black)
Came to see me in my black skin (Black)
Number one question they're askin'
Fuck every question you askin' (Black)
If I don't get ran out by Catholics (Black)
Here come some conservative Baptists
Claiming I'm overreactin'
Like them black kids in Chiraq, bitch"
Kendrick Lamar	16	m.A.A.d city	good kid, m.A.A.d city	2012	[Verse]	"Brace yourself, I'll take you on a trip down memory lane
This is not a rap on how I'm slingin' crack or move cocaine
This is cul-de-sac and plenty Cognac and major pain
Not the drill sergeant, but the stress that weighin' on your brain
It was me, L Boog, and Yan Yan, YG Lucky ride down Rosecrans
It got ugly, wavin' yo' hand out the window — check yourself
Uh, Warriors and Conans, hope euphoria can slow dance
With society, the driver seat, the first one to get killed
Seen a light-skinned nigga with his brains blown out
At the same burger stand where **** hang out
Now this is not a tape recorder sayin' that he did it
But ever since that day, I was lookin' at him different
That was back when I was nine, Joey packed the nine
Pakistan on every porch is fine, we adapt to crime
Pack a van with four guns at a time
With the sliding door, fuck is up?
Fuck you shootin' for if you ain't walkin' up, you fuckin' punk?
Pickin' up the fuckin' pump, pickin' off you suckers
Suck a dick or die or sucker punch
A wall of bullets comin' from AK's, AR's, ""Ayy, y'all—duck""
That's what mama said when we was eatin' that free lunch
Aw man, goddamn, all hell broke loose
You killed my cousin back in '94, fuck yo' truce
Now crawl your head in that noose
You wind up dead on the news
Ain't no peace treaty, just piecin' BGs up to pre-approve
Bodies on top of bodies, IVs on top of IVs
Obviously the coroner between the sheets like the Isleys
When you hop on that trolley, make sure your color's correct
Make sure you're corporate, or they'll be callin' your mother collect
They say the governor collect all of our taxes, except
When we in traffic and tragic happens, that shit ain't no threat
You movin' backwards if you suggest that you sleep with a TEC
Go buy a chopper and have a doctor on speed dial, I guess
​m.A.A.d. city"
Daz Dillinger	2	Cyco-Lic-No (Bitch Azz Niggaz)	Dogg Food	1995	[Outro]	"That's what I'm sayin', nigguh!
Still puttin' it down like we supposed to
Everyday, all day, it don't stop and it don't quit!
So pack up your shh and bail out or die
Ha-ha!"
2Pac	18	Trapped	2Pacalypse Now	1991	[Chorus]	"They got me trapped
They got me trapped
Trapped
You know they got me trapped"
Eminem	15	Amityville	The Marshall Mathers LP	2000	[Verse 3]	"That's why the city is filled with a bunch of fuckin' idiots still (Still)
That's why the first motherfucker poppin' some shit, he gets killed (Killed)
That's why we don't call it Detroit, we call it Amityville (Ville)
You can get capped after just havin' a cavity filled (Aha-ha-ha-ha-ha-ha)
That's why we're crowned the murder capital still (Still)
This ain't Detroit, this is motherfuckin' Hamburger Hill (Hill)
We don't do drive-bys, we park in front of houses and shoot (Shoo)
And when the police come we fuckin' shoot it out with 'em too (Too)
That's the mentality here (Here), that's the reality here (Here)
Did I just hear somebody say they wanna challenge me here? (Huh?)
While I'm holdin' a pistol with this many calibers here? (Here)
Plus a registration that just made this shit valid this year? (Year)
'Cause once I snap, I can't be held accountable for my actions
That's when accidents happen (Happen), when a thousand bullets come at your house
And collapse the foundation around you and they found you
And your family in it; goddammit, he meant it when he told you"
Prodigy	8	Spread Love	Murda Muzik	1999	[Verse 1]	"First of all, we the one and only Infamous
We come up in the party with them shanks and things
And nine times out ten we ain't even start the shit
We finish it then they wanna press charges
Was a thumper 'til he met the 40 thunder
That's how the ball bounce, 
That's what the guns do, dead you on the humble
So I tuck the heaters then proceed to move
We a mob for real, you an example"
50 Cent	19	P.I.M.P. Remix	Get Rich or Die Tryin’	2003	[Verse 1]	"Now, shorty, she in the club, she dancing for dollars
She got a thing for that Gucci, that Fendi, that Prada
That B.C.B.G, Burberry, Dolce & Gabbana
She's feeding fools' fantasies, they pay her 'cause they want her
I spit a little G-Man and my game got her
An hour later, have that ass up in the Ramada
Them trick niggas in her ear, saying they think about her
I got the bitch by the bar, trying to get a drink up out her
She like my style, she like my smile, she like the way I talk
She from the country, think she like me cause I'm from New York
I ain't that nigga trying to holla 'cause I want some head
I'm that nigga trying to holla 'cause I want some bread
I could care less how she perform when she in the bed
Bitch, hit the track, catch a date, and come pay the kid
Look, baby, this is simple, you can't see?
You fuckin' with me, you fuckin' with a P-I-M-P"
Lupe Fiasco	23	Chopper	Tetsuo & Youth	2015	[Chorus]	"Yeah, uhh, f-f-filet mignon with my food stamps (mm)
Car cosigned by my momma (Momma)
Medical card from Obama ('bama)
Background check for a chopper (chopper)
Filet mignon with my food stamps (mm)
Car cosigned by my momma (Momma)
Medical card from Obama ('bama)
Background check for a chopper (rrah)"
The Game	13	Spanglish	LAX	2008	[Verse 3]	"This is my city
I'm to California what New York is to Diddy
And Compton es mi casa
Adios mijos, mi pecho frio
Drug dealer fo' life, take me to da kilos
Muy mota mixed in with the coca
Spanish thang ridin' shotgun, she loca
(Callate la boca)
She's my ""El Pollo Loca""
And the day I die she know to bury me en roja"
Big L	25	The Enemy	The Big Picture	1997	[Chorus]	"Why do I end up in so much shit?
I done came way too far to be callin' it quits
Jake wanna lock me up even though I'm legit
They can't stand to see a young brother pockets get thick
Ayo, why do I end up in so much shit?
I done came way too far to be callin' it quits
Jake wanna lock me up even though I'm legit
They can't stand to see a young brother pockets get thick"
OutKast	28	Stankonia (Stanklove)	Stankonia	2000	[Chorus]	"Stank love
Stank love
Stank love
Stank love"
JAY-Z	6	Takeover	The Blueprint	2001	[Verse 2]	"I don't care if you Mobb Deep, I hold triggers to crews
You little fuck, I got money stacks bigger than you
When I was pushing weight back in '88
You was a ballerina, I got the pictures, I seen ya
Then you dropped ""Shook Ones,"" switched your demeanor
Well, we don't believe you, you need more people
Roc-A-Fella students of the game, we passed the class
'Cause nobody can read you dudes like we do
Don't let 'em gas you like Jigga is ass and won't clap you
Trust me on this one, I'll detach you
Mind from spirit, body from soul
They'll have to hold a mass, put your body in a hole
No, you're not on my level, get your brakes tweaked
I sold what your whole album sold in my first week
You guys don't want it with Hov
Ask Nas, he don't want it with Hov, no"
Eric B. & Rakim	14	Juice (Know the Ledge)	Don’t Sweat the Technique	1992	[Verse 3]	"Shells lay around on the battleground
Dead bodies are found throughout the town
Try to put shame in my game to make a name
I'ma put it on a bullet, put it in your brain
Rip the block like a buckshot, who cares where it goes?
Just keep the casket closed
No remorse when a life is lost
I paid my dues, paid the cost
And my pockets are still fat
Wherever I'm at, I get the welcome mat
Even if my crew is steep, I'm one deep
I attract attention, people like to peep
So come say hi to the bad guy
Don't say goodbye, I don't plan to die
'Cause I get loose and I got troops, and crazy juice
In control of many like Ayatollah Khomeini
Hang out with Smith and Wess', don't try to play me
I'm at war a lot like Anwar Sadat
But no warnin' shot, my gun is warm a lot
When I cook beef, the smoke will never clear
Areas in fear 'cause this here's severe
Livin' life too close to the edge
Hopin' that I know the ledge"
2Pac	18	Hold Ya Head	The Don Killuminati: The 7 Day Theory	1996	[Verse 1]	"I wake up early in the mornin', mind state so military
Suckers fantasizin' pictures of a young brother buried
Was it me, the weed or this life I lead?
If daytime is for suckers then tonight we breathe
Out for all that, knowin' that this world bring drawbacks
Look how they shiver once I deliver these raw raps
Meet me at the cemetery, dressed in black
Tonight we honor the dead, those who won't be back
So, if I die, do the same for me, shed no tears
An outlaw thug livin' in this game for years
Why worry? Hope to God, get me high when I'm buried
Knowin' deep inside only a few love me
Don't rush me to the gates of Heaven
Let me picture for a while, how I lived for my days as a child
I wonder now, how do we outlast?
Always get cash, stay strong if we all mash; hold ya head!"
